name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,value,proj_own,gpp_score,matchup,game_total
Chris Youngblood,POR,SG,3000,4.3,4.27,5.81,2.73,1.423,10.3,13.524,POR@HOU,229.0
Lindy Waters III,SAS,SG,3200,4.23,4.25,5.77,2.73,1.328,14.7,13.054,LAC@SAS,218.5
Dalano Banton,BOS,PG,3000,4.05,4.17,5.67,2.67,1.39,10.1,13.434,DAL@BOS,224.5
Isaiah Crawford,HOU,PF,3000,4.0,4.16,5.64,2.68,1.387,10.0,13.424,POR@HOU,229.0
Jeff Green,HOU,PF,3200,3.99,4.15,5.63,2.67,1.297,14.4,12.976,POR@HOU,229.0
Jahmir Young,MIA,PG,3000,3.67,3.5,4.75,2.25,1.167,9.7,12.755,MIA@CHA,216.5
Curtis Jones,DEN,PG,3000,3.29,3.44,4.67,2.21,1.147,9.6,12.702,NYK@DEN,230.0
Norchad Omier,LAC,PF,3000,3.5,3.36,4.56,2.16,1.12,9.5,12.626,LAC@SAS,218.5
Trey Jemison,NYK,C,3000,3.32,3.29,4.47,2.11,1.097,9.3,12.574,NYK@DEN,230.0
Harrison Ingram,SAS,SF,3000,2.95,2.97,4.03,1.91,0.99,9.2,12.24,LAC@SAS,218.5
Hunter Dickinson,NOP,C,3000,3.0,2.92,3.97,1.87,0.973,9.1,12.202,NOP@PHX,222.5
Bismack Biyombo,SAS,C,3100,2.85,2.87,3.89,1.85,0.926,12.5,11.802,LAC@SAS,218.5
Pacome Dadiet,NYK,SG,3000,2.52,2.5,3.4,1.6,0.833,8.8,11.785,NYK@DEN,230.0
John Tonje,BOS,SG,3000,2.0,2.06,2.8,1.32,0.687,8.7,11.325,DAL@BOS,224.5
Trevor Keels,MIA,SG,3000,1.25,1.19,1.61,0.77,0.397,8.6,10.404,MIA@CHA,216.5
Tosan Evbuomwan,CHA,SF,3000,0.5,0.5,0.68,0.32,0.167,8.5,9.683,MIA@CHA,216.5
