name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,proj_own,gpp_score,dnp_risk,matchup
Svi Mykhailiuk,UTA,SG,3200,16.69,16.98,26.11,7.85,8.9,25.211,0.12,GSW@UTA
Bogdan Bogdanovic,LAC,PG,3000,16.6,16.55,25.45,7.73,7.5,28.658,0.12,NYK@LAC
Craig Porter Jr.,CLE,PG,4300,16.46,16.62,25.47,7.64,12.6,28.177,0.12,PHI@CLE
Walter Clayton Jr.,MEM,SG,4600,16.9,16.4,25.16,7.61,14.2,27.776,0.12,MEM@BKN
Landry Shamet,NYK,SG,3800,16.84,17.08,26.26,7.7,10.5,28.976,0.12,NYK@LAC
Quinten Post,GSW,C,3500,16.81,16.63,25.56,7.7,9.6,24.779,0.12,GSW@UTA
Dean Wade,CLE,SF,3900,16.29,16.17,24.85,7.57,10.7,27.882,0.12,PHI@CLE
Gui Santos,GSW,PF,6500,16.74,16.56,22.5,10.62,22.1,23.272,0.05,GSW@UTA
Alex Caruso,OKC,SF,3800,16.25,16.45,25.2,7.57,10.2,28.212,0.12,DEN@OKC
Pat Spencer,GSW,PG,4700,15.71,15.55,23.91,7.19,14.5,23.253,0.12,GSW@UTA
Trendon Watford,PHI,PF,4000,15.08,14.97,22.91,6.82,10.8,26.409,0.12,PHI@CLE
Will Richard,GSW,SG,4100,15.06,14.9,22.91,6.89,11.1,22.839,0.12,GSW@UTA
Olivier-Maxence Prosper,MEM,PF,5000,14.94,14.48,22.28,6.76,15.9,25.398,0.05,MEM@BKN
Jared McCain,OKC,PG,4000,14.49,14.81,22.64,6.75,10.6,26.226,0.12,DEN@OKC
Olivier Sarr,CLE,C,3200,14.4,14.58,22.32,6.7,8.0,26.237,0.12,PHI@CLE
Blake Hinson,UTA,PF,3400,14.39,14.64,22.51,6.77,8.6,22.764,0.12,GSW@UTA
Kenrich Williams,OKC,PF,4200,14.35,14.63,22.38,6.68,11.2,25.966,0.12,DEN@OKC
Tyrese Martin,PHI,PG,3400,14.52,14.38,22.02,6.57,8.5,25.957,0.12,PHI@CLE
Gary Payton II,GSW,SG,4400,14.33,14.18,21.81,6.55,12.2,21.995,0.12,GSW@UTA
Kobe Sanders,LAC,SG,3500,13.9,13.72,21.09,6.44,8.7,25.214,0.12,NYK@LAC
Seth Curry,GSW,PG,3100,14.25,14.1,21.68,6.52,7.3,22.299,0.12,GSW@UTA
Taylor Hendricks,MEM,PF,4900,14.24,13.81,21.24,6.44,14.9,24.706,0.12,MEM@BKN
Jordan Clarkson,NYK,SG,3300,14.04,14.24,21.88,6.43,7.9,25.898,0.12,NYK@LAC
Nae'Qwan Tomlin,CLE,PF,3300,13.5,13.71,20.97,6.27,7.8,25.23,0.12,PHI@CLE
Spencer Jones,DEN,PF,3700,13.69,13.69,20.9,6.21,8.9,25.072,0.12,DEN@OKC
Josh Minott,BKN,SF,3000,13.31,13.75,20.98,6.2,6.0,25.426,0.12,MEM@BKN
John Konchar,UTA,SF,4300,13.16,13.39,20.58,6.2,11.1,21.24,0.12,GSW@UTA
Cody Williams,UTA,SG,4600,13.15,13.38,20.57,6.19,12.7,21.105,0.12,GSW@UTA
Keon Ellis,CLE,SG,4400,13.03,13.05,19.98,6.02,11.6,24.09,0.12,PHI@CLE
Adem Bona,PHI,C,4200,13.35,13.32,20.34,6.05,10.4,24.494,0.12,PHI@CLE
KJ Simpson,DEN,PG,3000,13.18,12.99,19.9,5.97,5.7,24.618,0.12,DEN@OKC
Jalen Pickett,DEN,PG,3500,13.13,12.97,19.87,5.94,7.9,24.374,0.12,DEN@OKC
Bradley Beal,LAC,SG,3000,12.54,12.38,19.03,5.81,5.6,23.953,0.12,NYK@LAC
Julian Strawther,DEN,SG,4200,12.64,12.42,19.0,5.7,10.2,23.485,0.12,DEN@OKC
Ben Saraf,BKN,PG,3000,11.82,11.79,18.12,5.51,5.4,23.28,0.12,MEM@BKN
Nate Williams,GSW,SF,3400,12.12,11.99,18.44,5.54,7.4,20.066,0.12,GSW@UTA
Tyler Kolek,NYK,PG,3100,12.07,12.24,18.81,5.53,6.3,23.716,0.12,NYK@LAC
Thomas Bryant,CLE,C,4300,11.55,11.86,18.09,5.37,10.4,22.779,0.12,PHI@CLE
