Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
56,5085867791,kawhisenberg (5/20),0,307.25,C Jakob Poeltl F Nique Clifford G Jamal Murray PF Miles Bridges PG Dejounte Murray SF Tristan da Silva SG Killian Hayes UTIL Kawhi Leonard,,Nique Clifford,F,3.76%,41.5
56,5086117758,BeerGoggleNews (14/20),0,307.25,C Mitchell Robinson F Kawhi Leonard G Darius Garland PF OG Anunoby PG Killian Hayes SF Tristan da Silva SG Trey Murphy III UTIL Karl-Anthony Towns,,Trey Murphy III,PG,3.74%,48.25
58,5085868662,bkn2244 (16/20),0,307,C Wendell Carter Jr. F RJ Barrett G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Desmond Bane SG Trey Murphy III UTIL Jamal Murray,,Nique Clifford,SF,3.69%,41.5
59,5086422636,abnkks,0,306.75,C Wendell Carter Jr. F DeMar DeRozan G Sam Merrill PF Dean Wade PG Trey Murphy III SF Kawhi Leonard SG Anthony Edwards UTIL Jonas Valanciunas,,Brook Lopez,UTIL,3.50%,8.75
60,5085922237,lkaragjo12 (7/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Killian Hayes,,Aaron Gordon,F,3.47%,8.5
60,5085924268,Danny_9114 (6/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Brandon Miller,SF,3.44%,34.75
60,5085934477,cvferguson (11/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Darius Garland,,Miles Bridges,F,3.31%,38.5
60,5085949355,j12forheisman (2/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Darius Garland,,Desmond Bane,SF,3.31%,54.5
60,5086000525,jkoshuta (9/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Killian Hayes PF Daeqwon Plowden PG Dejounte Murray SF Tristan da Silva SG Landry Shamet UTIL Darius Garland,,Patrick Baldwin Jr.,F,3.15%,0
60,5086019753,Modsquad13 (17/20),0,306.5,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Landry Shamet UTIL Killian Hayes,,Desmond Bane,SG,3.09%,54.5
